timestamp,catalogue-db_1/CPU_usage,catalogue-db_1/MEM_usage,catalogue-db_1/Cached_MEM_usage,catalogue-db_1/NET_Input,catalogue-db_1/NET_Output,catalogue-db_1/FS_reads,catalogue_1/CPU_usage,catalogue_1/MEM_usage,catalogue_1/Cached_MEM_usage,catalogue_1/NET_Input,catalogue_1/NET_Output,catalogue_1/FS_reads,catalogue:80/request_duration_seconds_count,catalogue:80/request_duration_seconds_bucket
1.54E+09,0.014688971,2.85E+08,1.68E+07,0,0,0,0.016998678,2.20E+07,5824512,65,432.6545455,0,0.2,2.381818182
1.54E+09,0.014921912,2.85E+08,1.68E+07,0,0,0,0.015521221,2.20E+07,5824512,65.00118184,432.3896798,0,0.2,2.381818182
1.54E+09,0.014527854,2.85E+08,1.68E+07,0,0,0,0.01382925,2.20E+07,5824512,65,432.2545455,0,0.2,2.381818182
1.54E+09,0.014331052,2.85E+08,1.68E+07,0,0,0,0.012773455,2.20E+07,5824512,65,432.2,0,0.2,2.381818182
1.54E+09,0.014431763,2.85E+08,1.68E+07,0,0,0,0.012583887,2.20E+07,5824512,64.9988182,431.9921456,0,0.2,2.363636364
1.54E+09,0.014967094,2.85E+08,1.68E+07,0,0,0,0.011510074,2.20E+07,5824512,59.09090909,392.5090909,0,0.2,2.381818182
1.54E+09,0.014086014,2.85E+08,1.68E+07,0,0,0,0.013639308,2.20E+07,5824512,65,431.8181818,0,0.2,2.381818182
1.54E+09,0.014165399,2.85E+08,1.68E+07,0,0,0,0.014501285,2.20E+07,5824512,65,432.0181818,0,0.2,2.381818182
1.54E+09,0.013818515,2.85E+08,1.68E+07,0,0,0,0.015756888,2.20E+07,5824512,65,432.1818182,0,0.200003636,2.381861488
1.54E+09,0.013790529,2.85E+08,1.68E+07,0,0,0,0.015255601,2.20E+07,5824512,59.09090909,393,0,0.2,2.381818182
1.54E+09,0.013409263,2.85E+08,1.68E+07,0,0,0,0.016166203,2.20E+07,5824512,65,432.3636364,0,0.2,2.4
1.54E+09,0.012657225,2.85E+08,1.68E+07,0,0,0,0.01522272,2.20E+07,5824512,65,432.2545455,0,0.2,2.4
1.54E+09,0.012704955,2.85E+08,1.68E+07,0,0,0,0.014146108,2.20E+07,5824512,59.09090909,392.7818182,0,0.2,2.4
1.54E+09,0.012500703,2.85E+08,1.68E+07,0,0,0,0.015558814,2.20E+07,5824512,65,432.0545455,0,0.2,2.4
1.54E+09,0.012949599,2.85E+08,1.68E+07,0,0,0,0.015236383,2.20E+07,5824512,65.00118184,431.9714904,0,0.2,2.4
1.54E+09,0.012325209,2.85E+08,1.68E+07,0,0,0,0.01277946,2.20E+07,5824512,59.09090909,393,0,0.2,2.4
1.54E+09,0.012304464,2.85E+08,1.68E+07,0,0,0,0.014512841,2.20E+07,5824512,65,432.2545455,0,0.2,2.4
1.54E+09,0.012536668,2.85E+08,1.68E+07,0,0,0,0.013290316,2.20E+07,5824512,65,432.6727273,0,0.2,2.4
1.54E+09,0.012438439,2.85E+08,1.68E+07,0,0,0,0.013156398,2.20E+07,5824512,65,432.7636364,0,0.2,2.4
1.54E+09,0.013680476,2.85E+08,1.68E+07,0,0,0,0.012843882,2.20E+07,5824512,65,432.7818182,0,0.2,2.381818182
1.54E+09,0.01362943,2.85E+08,1.68E+07,0,0,0,0.013640637,2.20E+07,5824512,65,432.6,0,0.2,2.381818182
1.54E+09,0.014203094,2.85E+08,1.68E+07,0,0,0,0.01315445,2.20E+07,5824512,65,432.2545455,0,0.2,2.381818182
1.54E+09,0.014324422,2.85E+08,1.68E+07,0,0,0,0.012573423,2.20E+07,5824512,65,432.2909091,0,0.2,2.381818182
1.54E+09,0.014516876,2.85E+08,1.68E+07,0,0,0,0.012515304,2.20E+07,5824512,65,432.0363636,0,0.2,2.381818182
1.54E+09,0.013824669,2.85E+08,1.68E+07,0,0,0,0.011070429,2.20E+07,5824512,65,431.7272727,0,0.2,2.363636364
1.54E+09,0.014089117,2.85E+08,1.68E+07,0,0,0,0.012139613,2.20E+07,5824512,65,431.7454545,0,0.2,2.381818182
1.54E+09,0.014387083,2.85E+08,1.68E+07,0,0,0,0.012779031,2.20E+07,5824512,65,431.6545455,0,0.2,2.381818182
1.54E+09,0.013514126,2.85E+08,1.68E+07,0,0,0,0.014941852,2.20E+07,5824512,65,431.6727273,0,0.2,2.363636364
1.54E+09,0.013768839,2.85E+08,1.68E+07,0,0,0,0.015552545,2.20E+07,5824512,65,431.5636364,0,0.2,2.363636364
1.54E+09,0.013201952,2.85E+08,1.68E+07,0,0,0,0.016896249,2.20E+07,5824512,70.90909091,471.4545455,0,0.2,2.363636364
1.54E+09,0.013546355,2.85E+08,1.68E+07,0,0,0,0.014364467,2.20E+07,5824512,65,432.3090909,0,0.2,2.381818182
1.54E+09,0.013796307,2.85E+08,1.68E+07,0,0,0,0.015209539,2.20E+07,5824512,65,432.4727273,0,0.2,2.381818182
1.54E+09,0.014027692,2.85E+08,1.68E+07,0,0,0,0.016287422,2.20E+07,5824512,65,432.6,0,0.2,2.4
1.54E+09,0.013948849,2.85E+08,1.68E+07,0,0,0,0.015218324,2.20E+07,5824512,65,432.6181818,0,0.2,2.4
1.54E+09,0.014131334,2.85E+08,1.68E+07,0,0,0,0.015650233,2.20E+07,5824512,65,432.4727273,0,0.2,2.4
1.54E+09,0.014422179,2.85E+08,1.68E+07,0,0,0,0.016565114,2.20E+07,5824512,65.00118184,432.2805869,0,0.2,2.4
1.54E+09,0.014352464,2.85E+08,1.68E+07,0,0,0,0.01618375,2.20E+07,5824512,64.9988182,432.119416,0,0.2,2.4
1.54E+09,0.014722464,2.85E+08,1.68E+07,0,0,0,0.016756587,2.20E+07,5824512,65,432.1090909,0,0.2,2.4
1.54E+09,0.015187982,2.85E+08,1.68E+07,0,0,0,0.014826038,2.20E+07,5824512,65,432.1818182,0,0.2,2.4
